1.33333;2050;0.847298;7.6256
3.66667;2050;1.54045;7.6256
10;1608;2.3979;7.38275
22.3333;953;3.14988;6.85961
42.6667;637;3.77659;6.45677
73;458;4.30407;6.12687
115.333;349;4.75646;5.85507
171.667;254;5.15136;5.53733
244;207;5.50126;5.33272
334.333;162;5.81513;5.0876
444.667;137;6.09957;4.91998
577;119;6.35957;4.77912
733.333;96;6.59896;4.56435
915.667;82;6.82074;4.40672
1126;78;7.02731;4.35671
1366.33;65;7.22062;4.17439
1638.67;59;7.40225;4.07754
1945;49;7.57353;3.89182
2287.33;45;7.73558;3.80666
2667.67;39;7.88933;3.66356
3088;36;8.0356;3.58352
3550.33;32;8.17508;3.46574
4056.67;31;8.30836;3.43399
4609;29;8.43598;3.3673
5209.33;29;8.5584;3.3673
5859.67;25;8.67602;3.21888
6562;24;8.7892;3.17805
7318.33;20;8.89827;2.99573
8130.67;18;9.00352;2.89037
9001;18;9.1052;2.89037
9931.33;17;9.20355;2.83321
10923.7;15;9.29878;2.70805
11980;14;9.39108;2.63906
13102.3;13;9.48062;2.56495
14292.7;13;9.56757;2.56495
15553;12;9.65207;2.48491
16885.3;12;9.73426;2.48491
18291.7;12;9.81426;2.48491
19774;10;9.89217;2.30259
21334.3;10;9.96812;2.30259
22974.7;9;10.0422;2.19722
24697;9;10.1145;2.19722
26503.3;9;10.1851;2.19722
28395.7;8;10.254;2.07944
30376;8;10.3214;2.07944
32446.3;8;10.3874;2.07944
34608.7;8;10.4519;2.07944
36865;8;10.515;2.07944
39217.3;8;10.5769;2.07944
41667.7;8;10.6375;2.07944
44218;6;10.6969;1.79176
46870.3;6;10.7552;1.79176
49626.7;6;10.8123;1.79176
52489;6;10.8684;1.79176
55459.3;6;10.9234;1.79176
58539.7;6;10.9775;1.79176
61732;6;11.0306;1.79176
65038.3;6;11.0827;1.79176
68460.7;6;11.134;1.79176
72001;6;11.1844;1.79176
75661.3;6;11.234;1.79176
79443.7;5;11.2828;1.60944
83350;4;11.3308;1.38629
87382.3;4;11.3781;1.38629
91542.7;4;11.4246;1.38629
95833;4;11.4704;1.38629
100255;4;11.5155;1.38629
104812;4;11.5599;1.38629
109504;4;11.6037;1.38629
114334;4;11.6469;1.38629
119305;4;11.6894;1.38629
124417;4;11.7314;1.38629
129673;4;11.7728;1.38629
135076;4;11.8136;1.38629
140626;4;11.8539;1.38629
146326;4;11.8936;1.38629
152179;4;11.9328;1.38629
158185;4;11.9715;1.38629
164347;4;12.0097;1.38629
170668;4;12.0475;1.38629
177148;4;12.0847;1.38629
183790;3;12.1216;1.09861
190597;3;12.1579;1.09861
197569;3;12.1938;1.09861
204709;3;12.2294;1.09861
212020;3;12.2644;1.09861
219502;2;12.2991;0.693147
227158;2;12.3334;0.693147
234991;2;12.3673;0.693147
243001;2;12.4008;0.693147
251191;2;12.434;0.693147
259564;2;12.4668;0.693147
268120;2;12.4992;0.693147
276862;2;12.5313;0.693147
285793;2;12.563;0.693147
294913;2;12.5944;0.693147
304225;2;12.6255;0.693147
313732;2;12.6563;0.693147
323434;2;12.6868;0.693147
333334;2;12.7169;0.693147
